"Z" "X" "Y" "Switzerland" "Basis-1" "Basis-2" "Basis-3" "Basis-4" "Basis-5" "Basis-6" "Basis-7" "Basis-8" "Basis-9" "Basis-10" "Basis-11" "Basis-12" "Basis-13" "Basis-14" "Basis-15" "Basis-16" "Basis-17" "Basis-18" "Basis-19" "Basis-20"
0 486661 294684 0 -1.93766945028071 -1.12309507747252 -1.3639590035748 -0.943325751714742 -1.11748637398523 -0.615082301192833 -0.24067144005572 -0.022571792194301 -0.939757125130484 -0.751284276097372 -0.394174764729294 -0.119150896726013 0.579174180868917 -0.0188031777685176 -0.597288325793915 2.21435750523708 -0.458521618728369 0.318857889077384 0.669027033560076 -0.0965614773879814
0 489161 294684 0 -1.88436211071905 -1.13591303930037 -1.48934149302323 -0.800480100352147 -1.25234989712692 -0.555768473670709 -0.37051455786899 -0.11860349344316 -0.997624076236279 -0.570607700811136 -0.229158183383712 -0.160704271680962 0.840126255948773 0.0968938863509846 -0.689708179135764 2.22229776544003 -0.421255744422999 0.310725602578528 0.67813142260858 -0.0774907039914513
0 491661 294684 0 -1.82904957494481 -1.16910258546028 -1.61736597694251 -0.646219906408443 -1.35104051066492 -0.464667404653426 -0.473861065737126 -0.228010549593605 -1.02334605483965 -0.388481692265755 -0.0808259680071993 -0.184224476216782 1.10740216933982 0.178564765366882 -0.744084437052124 2.15574919155875 -0.367698321479355 0.283492925004513 0.711178317481732 -0.0517224298999405
0 494161 294684 0 -1.77564896613193 -1.2251114270591 -1.74029346058763 -0.487748559179419 -1.41167042815897 -0.343333601496744 -0.545853911204006 -0.343205918065673 -1.01570763555132 -0.21731657051406 0.0454861944352462 -0.184846501568063 1.36237632897944 0.226182444078666 -0.753461829081236 2.02221248039363 -0.303103066288243 0.244071510421196 0.77218426179929 -0.0226954504169407
0 496661 294684 0 -1.72594022891782 -1.3029018732085 -1.84954786067834 -0.332523023950469 -1.4359746209817 -0.197364140907807 -0.583365747766892 -0.45693751912169 -0.975622236766871 -0.0681830475884817 0.14655744509525 -0.159420054259869 1.58699471064111 0.243613401324409 -0.713581747633873 1.83391175232588 -0.23271628002591 0.199820751320314 0.862987480784201 0.00629506608090748
0 499161 294684 0 -1.6794038427404 -1.39784944066308 -1.93643192284256 -0.187546742830919 -1.42882709002568 -0.0358856892638021 -0.5853892733087 -0.563341479410417 -0.905928733133258 0.0500061272293946 0.221372915581879 -0.106951351461906 1.76522526001665 0.238213358139484 -0.623268025180273 1.60620882550702 -0.161322021164892 0.157740381945112 0.982944268956056 0.0326197632436801
0 501661 294684 0 -1.63334186369508 -1.502068182551 -1.99290951519734 -0.0587367727401738 -1.39742337527148 0.12965657929809 -0.553245584109087 -0.658739899835259 -0.81107606597012 0.131038685931882 0.270897675988546 -0.0286928839426868 1.8843088519731 0.220037613174415 -0.484612929740858 1.3558243541846 -0.0929683908553468 0.123857752681318 1.12882338021712 0.0545691586121366
0 504161 294684 0 -1.58327326440659 -1.60513121735832 -2.01235994841454 0.0495591764035862 -1.35023317533831 0.287187977351268 -0.490577520380075 -0.74201997910027 -0.696760188042862 0.171624363306216 0.297583197544548 0.07211811517282 1.93571043633283 0.200743098429359 -0.302927420654291 1.09911363285991 -0.0308802415038305 0.102865591422807 1.29490302885465 0.071279970127851
251.30164 506661 294684 0 -1.52356455699601 -1.69510714809434 -1.99021371070142 0.134844572025497 -1.29585271835539 0.425841445764034 -0.403118097124847 -0.814505698933551 -0.569559039155782 0.171305926825601 0.30470765690934 0.190794641667043 1.915701929018 0.192298782146633 -0.0864382278557788 0.850613409793246 0.0224700709703035 0.098010473947983 1.47325926248597 0.082369379906541
251.30164 509161 294684 0 -1.44823022517855 -1.75979520305944 -1.92439544630266 0.196534277579457 -1.24189698733331 0.53757852639534 -0.298249157008594 -0.87933019507592 -0.436582713587788 0.13212307215187 0.295684277151405 0.321873302131697 1.82554260240653 0.205647247546131 0.154261711866785 0.622013346531664 0.0651880819246943 0.111182485495025 1.65422119390669 0.0873985782064957
